text,Sentiment,Score
"b""halifax Reviews > https:// bit.ly/2vIR0bH Elizabeth Busty Caramel Bombshell x a 20 Fresno fresno California ** S U P E R B U S T Y 38 DDD's Sexy""",positive,0.028076171875
b'Our R&B Band is in Halifax at All City Music. #sd61learn',positive,0.03180803571428571
"b""Look who will be playing LIVE at #TheSundayMixTape @ThePieceHall 27th May. #DeanFagan Dean prides himself on his DJ sets, performing Funk, Soul, R&B , Hip Hop, House and Dubstep. Get your tickets for 'BIG' here https:// buff.ly/2JUENUd #Halifax #LiveMusic #FamilyEvent pic.twitter.com/Ha5CoFdyjU""",positive,0.0003478152227346852
