text,Sentiment,Score
"b""We're number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe""",negative,-0.01865234375
"b""The #1 spot is Soul'z On the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe""",positive,0.004205877130681818
"b""A big congrats to @JRDNmusic on his Juno win last night for R/B Recording of the Year, Can't Choose ft. @KardinalO #halifax #JUNOS2014""",positive,0.001931583180147059
"b""HUGE congrats to Halifax 's ( & St F.X) own Jordan Croucher for winning a JUNO AWARD for R&B /SOUL Recording of... http:// fb.me/2iiQjAtZx""",positive,0.013020833333333334
"b""Halifax Is taking over! Shout out to @JRDNmusic on winning Juno for R&B album. St. Pat's represent.""",positive,0.018891016564902923
"b'Congratulations to Cyndi Cain for winning Best R&B Artist/Band in The Coast\'s annual Best of Halifax 2014""! http:// fb.me/2fGmJhR9j""'",positive,0.05189732142857143
"b'JRDN RISING: Croucher back on the Junos docket, releases new CD: album IAMJRDN, Halifax R&B star Jordan Crouch... http:// bit.ly/1cY0Rpk'",positive,0.014439633018092105
"b""Can't raise a man!!! #relationshipadvice #kmichelle #SONGS #Life #love #viv #r &b #Halifax""",positive,0.05186097789555788
"b""We're number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe""",negative,-0.01865234375
"b""We're number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe""",negative,-0.01865234375
"b""We're number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe""",negative,-0.01865234375
b'Hop! In the Name of Love. Motown + R&B v-day dance party featuring @HeavyPettingHal and @djtwoo #halifax http:// buff.ly/1e7di15',positive,0.030989583333333334
"b""We're number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe""",negative,-0.01865234375
"b""Wayo d\\xe9barque d' Halifax pour venir vous pr\\xe9senter \\xabWanderings\\xbb, un EP qu'ils qualifient de smooth-ass R&B (et on... http:// fb.me/2rR63hmCc""",negative,-0.00011488970588235294
"b""We're number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe""",negative,-0.01865234375
