XLOC,YLOC,COUNT(BP_ID)
-63.14832000044292,44.78705999977427,338
-63.14021000017644,45.04731999983237,81
-63.10486000017232,44.73838999974981,120
-63.09693999987661,44.78690999992346,10
-63.09684000031751,44.9758800002248,8
-63.088750000142504,45.1026699997331,17
-63.064709999771225,44.777609999721925,121
-63.04557000025435,44.76650000021682,52
-63.036380000437525,44.818580000227946,22
-63.03606999991782,44.69898000024513,54
-63.020089999584336,18.053859999866383,62
-63.00849000042158,45.041590000141774,2
-62.99272000015038,44.76273000029278,3
-62.98667000032374,44.725219999917876,48
-62.983330000317,17.466669999739164,181
-62.955689999647994,44.7845899998605,31
-62.94773000006764,45.1399799997678,24
-62.9436300001777,44.7676799997023,41
-62.93661999955302,45.05899999990806,2
-62.92878999966899,44.736449999681945,30
-62.88591000025484,44.73671999971557,13
-62.87396000038942,44.8065800002835,31
-62.83181999986865,44.75001000011516,13
-62.83121999981903,45.18796000005682,1
-62.83035000033096,44.77602000024067,20
-62.810629999957655,44.75545999968794,4
-62.80115999975835,44.77938000015169,34
-62.79544999969035,44.946029999750145,18
-62.792390000066085,45.220080000109135,9
-62.73116000025718,44.7891099998976,15
-62.700619999797475,44.88876000011431,7
-62.675590000287556,44.8471099999164,3
-62.674750000038415,44.99680000030692,10
-62.66072999968737,44.82003000018255,22
-62.627450000168864,44.832630000062885,11
-62.58546000033425,44.84084000020349,23
-62.552689999555376,44.85546999976842,42
-62.53191999976895,44.91685000018608,128
-62.495710000322546,45.043659999874336,3
-62.481259999801175,44.98512999983791,4
-62.478349999964756,44.905930000017165,29
-62.46079999963617,44.846100000172925,12
-62.44149000024,44.86299999991665,10
-62.42119999995428,44.898379999948475,16
-62.38061000023544,44.91416000021062,21
-62.37757999985012,44.94040000008647,2
-62.35552999959851,44.93757000003169,18
-62.33389000032404,44.9148100001472,6
-62.28937999974202,44.932190000024455,10
-62.25244999969707,44.97636999992401,25
-62.213169999682314,44.96688000018571,8
-62.188049999760715,44.97732000022566,1
-62.18332999972968,16.716670000362356,1
-62.18158999985526,44.99020999994316,2
-62.1674900000366,44.96599000003617,14
-61.2677100002699,45.25054999996222,2159
-60.63489999999044,11.203030000378574,64
-56.54762000025573,49.84523000026192,21
-54.70948000031634,49.625879999752605,18
-54.46489999994102,47.44989999971965,20
-8.162910000077968,53.74962000006119,174
-5.803469999694209,35.77973000027767,23
-2.583330000440288,55.53333000015734,242
-2.114280000050274,53.53992999988198,14
144.21666999998584,-36.0333299997846,20
145.43965760197574,-16.222139929632235,271
170.5200999998375,-45.878379999966924,543
