XLOC,YLOC,COUNT(BP_ID)
-131.52591999984875,55.325800000082765,343
-128.0882299998948,52.140040000143905,7
-122.30456000004153,49.041639999754985,14
-122.24557999974498,37.81606000016885,168
-122.01506999994943,37.57100000000564,8
-122.00643999999924,36.96625000007344,163
-121.89694000037531,37.24054000016518,12191
-115.06376000036437,34.919879999919104,229
-114.02106999996226,50.937140000006146,153
-112.78443999995943,54.44527999989411,8
-112.04161000037236,40.704389999743995,30
-101.83423999982024,50.53329999985595,216
-94.19529999982355,36.48897999976334,4974
-93.4091599997537,45.767579999837615,176
-93.27160000023451,38.534669999798645,385
-91.14511000002778,30.43379999981203,8
-91.05010000020987,30.42518999962438,382
-90.64738999964715,38.97071000010743,320
-90.05051000022826,38.60046999995342,13
-88.07968999973599,42.417949999925526,6
-84.63605000041285,34.068709999814246,183
-82.95776000044378,46.18316999990613,38
-82.05133999994827,45.73827000001197,9
-82.03707000025027,36.95317000003814,5
-81.9601999998665,41.47714999976042,71
-81.85902999971877,27.951650000181928,5
-81.77121999959803,32.434899999764525,7
-81.70267999958877,30.95634000001043,22615
-80.33557000011332,43.38277999976903,177
-80.09093000036187,26.623339999848223,380
-79.77759999991501,40.878239999961785,521
-79.43705999986776,42.32046999979538,15
-79.02066999961094,46.22556000023568,72
-78.99419999980228,35.04432999986331,207
-78.71973000014388,35.75320999995494,198
-78.4358399996166,38.67150999979924,342
-76.77012999969983,40.83704999996526,40
-76.38773999956004,39.54538000021993,870
-76.2827299998134,38.751510000205435,94
-76.202450000001,38.918169999678845,82
-76.19834000006531,36.831459999779014,30
-76.07201999985875,43.31950000027824,155
-75.79812000011279,41.1153099999821,4
-75.64682999977245,43.176710000070926,4
-75.4902999997174,39.649619999687545,1
-75.3862099996875,41.115140000147626,419
-75.10934999987636,43.59875000010532,5
-74.21546000010274,39.668709999847096,73
-74.14208999955927,41.12348000029282,34
-74.06235999956779,44.55706999983388,8
-73.6526300001313,40.6853800002464,78
-72.32881000014883,42.30891999979337,213
-72.2056600000697,41.286460000279185,52
-72.10755999959197,40.99113000004747,24
-71.64843999970881,42.83549999967632,10
-71.14365000022569,41.69734999983139,1955
-70.26581000020742,45.65299999979453,27
-69.1679499998688,45.18654000020673,40
