"Main_Street_Name","summary_vehicle","summary_pedestrian","day_of_week"
" DAWES RD ",7243,1177,"Thursday"
" CARLINGVIEW DR ",8323,50,"Monday"
" ASHTONBEE RD ",7898,472,"Monday"
" DON MILLS RD E ",7659,670,"Monday"
" HALLAM ST ",7058,1267,"Thursday"
" MORNINGSIDE AVE ",8262,51,"Tuesday"
" BERMONDSEY RD ",8166,142,"Tuesday"
" ANNETTE ST ",7493,780,"Tuesday"
" HUMBERWOOD BLVD ",7890,374,"Monday"
" COSBURN AVE ",8030,229,"Thursday"
" THE WESTWAY ",8082,132,"Wednesday"
" PASSMORE AVE ",8111,91,"Saturday"
" MARKHAM RD ",7831,355,"Thursday"
" ESTHER SHINER BLVD ",7828,231,"Monday"
" RONCESVALLES AVE ",6002,2052,"Thursday"
" DAWES RD ",7911,87,"Wednesday"
" GUILDWOOD PKWY ",6900,1089,"Thursday"
" THE WESTWAY ",7883,86,"Thursday"
" GARDINER E PARK LAWN RD RAMP ",7957,0,"Tuesday"
" FORT YORK BLVD ",7407,517,"Wednesday"
" OLD WESTON RD ",7427,491,"Tuesday"
" RUNNYMEDE RD ",7148,765,"Thursday"
" CORPORATE DR ",7685,222,"Wednesday"
" CARLTON ST ",5522,2354,"Thursday"
" LOWER SIMCOE ST ",6151,1675,"Monday"
" MORTIMER AVE ",6966,858,"Tuesday"
" MEADOWVALE RD ",5654,2155,"Sunday"
" OAKDALE RD ",7394,393,"Tuesday"
" BELFIELD RD ",7643,59,"Wednesday"
" HUMBER COLLEGE BLVD ",7139,532,"Monday"
" SENTINEL RD ",6160,1504,"Thursday"
" NEILSON RD ",7277,364,"Tuesday"
" MILNER AVE ",7500,69,"Wednesday"
" THE DONWAY W ",6333,1231,"Tuesday"
" ADELAIDE ST W ",6505,1038,"Thursday"
" THE EAST MALL ",7316,183,"Wednesday"
" RIVER ST ",6776,718,"Monday"
" THE POND RD ",5073,2414,"Thursday"
" LANSDOWNE AVE ",6127,1245,"Thursday"
" WILLIAM KITCHEN RD ",7184,133,"Monday"
" INGRAM DR ",7108,199,"Thursday"
" BELLAMY RD N ",6586,667,"Monday"
" WINDERMERE AVE ",6488,634,"Thursday"
" GATEWAY BLVD ",5012,2105,"Monday"
" COMSTOCK RD ",6961,101,"Monday"
" BREMNER BLVD ",6011,1034,"Monday"
" DUPLEX AVE ",6313,720,"Monday"
" ATTWELL DR ",6967,31,"Monday"
" ST DENNIS DR ",5921,982,"Tuesday"
" WARDEN AVE ",6587,291,"Thursday"
" HORNER AVE ",6526,350,"Wednesday"
" TAPSCOTT RD ",6834,41,"Thursday"
" VAUGHAN RD ",6617,219,"Wednesday"
" TAPSCOTT RD ",6725,102,"Monday"
" TAPSCOTT RD ",5901,792,"Wednesday"
" GATEWAY BLVD ",5500,1185,"Tuesday"
" SIGNET DR ",6517,162,"Tuesday"
" POYNTZ AVE ",6440,74,"Tuesday"
" BONIS AVE ",4677,1734,"Thursday"
" QUEENS PLATE DR ",5874,533,"Thursday"
" MCLEVIN AVE ",5420,817,"Wednesday"
" CORPORATE DR ",5577,655,"Monday"
" SIGNET DR ",6137,69,"Wednesday"
" SCARBOROUGH GOLF CLUB RD ",6015,189,"Tuesday"
" VAUGHAN RD ",5240,921,"Tuesday"
" OLD KINGSTON RD ",6116,39,"Wednesday"
" CHERRY ST ",5622,517,"Monday"
" MEADOWVALE RD ",5960,169,"Tuesday"
" MILNER AVE ",6089,37,"Monday"
" LUMSDEN AVE ",5471,498,"Tuesday"
" MORTIMER AVE ",5772,191,"Monday"
" SEWELLS RD ",5498,409,"Wednesday"
" BRITISH COLUMBIA RD ",5836,25,"Tuesday"
" LUMSDEN AVE ",5614,218,"Wednesday"
" MILLWOOD RD ",5206,581,"Tuesday"
" SPADINA CRES ",5225,437,"Thursday"
" BRIDLETOWNE CRCL ",5174,485,"Wednesday"
" BELLAMY RD N ",5316,126,"Thursday"
" SCARBOROUGH GOLF CLUB RD ",5375,30,"Thursday"
" COMMISSIONERS ST ",5309,28,"Monday"
" LEBOVIC AVE ",5127,149,"Thursday"
" OLD KINGSTON RD ",4889,128,"Monday"
" TALBOT RD ",4909,89,"Tuesday"
" FAIRVIEW MALL DR ",4746,147,"Monday"
" COMMISSIONERS ST ",4750,21,"Wednesday"
" TORO RD ",4630,52,"Wednesday"
" GRANTBROOK ST ",4454,69,"Wednesday"
" BAMBURGH CRCL ",3793,667,"Monday"
" GUNNS RD ",4240,176,"Wednesday"
" YORK BLVD ",3982,350,"Thursday"
" DWIGHT AVE ",3813,488,"Wednesday"
" SANDHURST CRCL ",2481,1772,"Tuesday"
" THE POND RD ",3756,185,"Monday"
" ORTON PARK RD ",3300,315,"Thursday"
" SHAW ST ",3069,486,"Thursday"
" DWIGHT AVE ",3348,203,"Thursday"
" TANGIERS RD ",3016,23,"Thursday"
" BRENYON WAY ",2748,83,"Thursday"
" MURRAY ROSS PKWY ",1872,725,"Monday"
" ZOO RD ",1982,16,"Sunday"
" PRINCES BLVD ",1485,33,"Tuesday"
" OLD FINCH AVE ",1081,0,"Thursday"
