"Main_Street_Name","summary_vehicle","summary_pedestrian","day_of_week"
" LAWRENCE AVE E ",106112,5745,"Thursday"
" MOUNT PLEASANT RD ",102538,7899,"Thursday"
" MCCOWAN RD ",106752,2166,"Wednesday"
" BATHURST ST ",98300,9858,"Thursday"
" UNIVERSITY AVE ",74182,33757,"Tuesday"
" WILLIAM R ALLEN RD ",106021,1302,"Wednesday"
" LAKE SHORE BLVD W ",96760,8988,"Tuesday"
" KEELE ST ",101860,3412,"Thursday"
" BAYVIEW AVE ",102648,2454,"Wednesday"
" VICTORIA PARK AVE ",98314,5907,"Thursday"
" JANE ST ",98015,6134,"Wednesday"
" WILSON AVE ",98795,4508,"Tuesday"
" MIDLAND AVE ",97110,5508,"Wednesday"
" STEELES AVE E ",98696,3298,"Thursday"
" DIXON RD ",99117,2421,"Tuesday"
" LAKE SHORE BLVD E ",98832,2112,"Monday"
" BLOOR ST E ",53477,47357,"Tuesday"
" DANFORTH AVE ",74226,26109,"Saturday"
" SHEPPARD AVE W ",95121,4903,"Thursday"
" ELLESMERE RD ",92410,6742,"Saturday"
" STEELES AVE W ",97555,1336,"Tuesday"
" STEELES AVE W ",97939,495,"Friday"
" DANFORTH RD ",94472,3154,"Thursday"
" MOUNT PLEASANT RD ",85531,11653,"Tuesday"
" ROYAL YORK RD ",92111,4188,"Thursday"
" QUEEN ST E ",67588,27642,"Tuesday"
" JARVIS ST ",79282,15538,"Tuesday"
" PHARMACY AVE ",88977,5387,"Monday"
" WILSON AVE ",87269,7039,"Saturday"
" KIPLING AVE ",89620,4609,"Thursday"
" ELLESMERE RD ",92199,1368,"Tuesday"
" LESLIE ST ",91495,1725,"Saturday"
" GERRARD ST E ",79528,13254,"Wednesday"
" REXDALE BLVD ",91108,981,"Thursday"
" ST CLAIR AVE W ",77777,14181,"Wednesday"
" O CONNOR DR ",89199,2500,"Tuesday"
" QUEEN ST W ",65346,24148,"Wednesday"
" SHEPPARD AVE W ",87103,1947,"Tuesday"
" NEILSON RD ",82637,4987,"Thursday"
" KINGSTON RD ",82725,3791,"Saturday"
" EGLINTON AVE E ",77575,8507,"Tuesday"
" MOUNT PLEASANT RD ",77490,7555,"Wednesday"
" KIPLING AVE ",80757,3329,"Wednesday"
" COLLEGE ST ",60461,23427,"Tuesday"
" O CONNOR DR ",81241,2097,"Monday"
" DAVENPORT RD ",76843,5605,"Monday"
" AVENUE RD ",77126,4874,"Thursday"
" MCCOWAN RD ",79272,1462,"Thursday"
" LAWRENCE AVE W ",75714,4899,"Tuesday"
" PHARMACY AVE ",76500,2704,"Tuesday"
" BLACK CREEK DR ",78411,669,"Wednesday"
" QUEEN ST W ",47363,31453,"Thursday"
" MIDLAND AVE ",73206,2763,"Tuesday"
" SHEPPARD AVE E ",67279,8543,"Monday"
" HIGHWAY 27 ",74880,893,"Tuesday"
" WESTON RD ",69634,5079,"Tuesday"
" SPADINA AVE ",51802,22566,"Wednesday"
" EGLINTON AVE W ",67916,5907,"Wednesday"
" MOUNT PLEASANT RD ",68896,4153,"Monday"
" PHARMACY AVE ",68088,4656,"Wednesday"
" QUEEN ST W ",55161,17551,"Tuesday"
" BIRCHMOUNT RD ",67589,4350,"Monday"
" QUEEN ST E ",48480,21837,"Thursday"
" KING ST W ",49526,20697,"Monday"
" EVANS AVE ",69074,909,"Wednesday"
" KEELE ST ",65351,3036,"Wednesday"
" BIRCHMOUNT RD ",66444,1669,"Thursday"
" KINGSTON RD ",65558,2131,"Tuesday"
" ISLINGTON AVE ",65108,2377,"Saturday"
" CHURCH ST ",46195,20994,"Monday"
" KENNEDY RD ",65137,1002,"Wednesday"
" BRIMLEY RD ",63968,2140,"Monday"
" KEELE ST ",56318,8902,"Monday"
" BIRCHMOUNT RD ",63523,1544,"Wednesday"
" WILSON AVE ",60588,3918,"Monday"
" QUEEN ST E ",49609,13939,"Saturday"
" BLOOR ST W ",41022,22297,"Saturday"
" KIPLING AVE ",59135,3547,"Friday"
" COLLEGE ST ",40264,21902,"Wednesday"
" SHERBOURNE ST ",46880,14991,"Wednesday"
" MARTIN GROVE RD ",59146,2427,"Monday"
" CHURCH ST ",32047,29152,"Tuesday"
" LAWRENCE AVE E ",53828,7037,"Saturday"
" DIXON RD ",58147,2448,"Saturday"
" KENNEDY RD ",58534,2054,"Monday"
" MORNINGSIDE AVE ",57303,2731,"Monday"
" KENNEDY RD ",55466,4533,"Saturday"
" WILLIAM R ALLEN RD ",59688,199,"Tuesday"
" EGLINTON AVE E ",57913,1534,"Saturday"
" EGLINTON AVE W ",57982,1154,"Saturday"
" LESLIE ST ",56216,2171,"Thursday"
" GERRARD ST E ",51025,6974,"Tuesday"
" O CONNOR DR ",57484,220,"Wednesday"
" BLOOR ST E ",44703,12375,"Thursday"
" SPADINA AVE ",35443,21316,"Monday"
" DANFORTH RD ",55082,1458,"Wednesday"
" KING ST E ",17665,37719,"Wednesday"
" EASTERN AVE ",52851,1884,"Monday"
" DUNDAS ST E ",49262,5202,"Thursday"
" THE EAST MALL ",53093,1025,"Tuesday"
" WILLIAM R ALLEN RD ",53942,166,"Thursday"
" SPADINA AVE ",37894,15762,"Tuesday"
" BRIMLEY RD ",51684,1780,"Thursday"
" ADELAIDE ST W ",30223,23215,"Tuesday"
" FINCH AVE E ",49279,4137,"Saturday"
" DIXON RD ",51620,989,"Wednesday"
" MIDLAND AVE ",51248,1200,"Monday"
" BLOOR ST ",12018,40230,"Saturday"
" DANFORTH RD ",49709,2443,"Saturday"
" KIPLING AVE ",48722,2584,"Monday"
" JARVIS ST ",33901,17301,"Thursday"
" MIDLAND AVE ",48432,2351,"Thursday"
" HIGHWAY 27 ",48497,1838,"Wednesday"
" WARDEN AVE ",48294,1929,"Saturday"
" O CONNOR DR ",47497,2247,"Saturday"
" PROGRESS AVE ",48727,1013,"Monday"
" LAKE SHORE BLVD E ",45895,3788,"Saturday"
" YORK ST ",27603,21781,"Tuesday"
" DUPONT ST ",44003,5282,"Saturday"
" BURNHAMTHORPE RD ",48479,769,"Tuesday"
" DIXON RD ",46848,1399,"Thursday"
" LESLIE ST ",45854,1779,"Tuesday"
" KEELE ST ",42415,4832,"Saturday"
" SHERBOURNE ST ",35436,11697,"Tuesday"
" QUEEN ST E ",37329,9342,"Monday"
" MILLWOOD RD ",44629,1323,"Thursday"
" DAVENPORT RD ",42475,3143,"Thursday"
" HIGHWAY 27 ",45166,323,"Thursday"
" RENFORTH DR ",43489,1470,"Thursday"
" PARKSIDE DR ",42829,1604,"Wednesday"
" LAKE SHORE BLVD E ",39960,4456,"Wednesday"
" KING ST W ",29668,14330,"Saturday"
" QUEENS QUAY W ",31099,12600,"Wednesday"
" COLLEGE ST ",29132,13907,"Saturday"
" FRONT ST W ",11290,31351,"Tuesday"
" COXWELL AVE ",33789,8799,"Monday"
" ALBION RD ",40940,1389,"Saturday"
" MCNICOLL AVE ",41012,1083,"Thursday"
" COXWELL AVE ",33964,7923,"Thursday"
" COLLEGE ST ",29660,11433,"Thursday"
" PARLIAMENT ST ",27562,12243,"Wednesday"
" NEILSON RD ",39276,441,"Wednesday"
" PARK LAWN RD ",38182,858,"Thursday"
" ORIOLE PKWY ",37906,662,"Wednesday"
" SPADINA AVE ",11107,26960,"Saturday"
" DUPONT ST ",32646,5416,"Thursday"
" ISLINGTON AVE ",36896,1077,"Monday"
" GERRARD ST E ",32463,5463,"Thursday"
" BAY ST ",26892,10192,"Monday"
" DANFORTH AVE ",33124,3684,"Monday"
" PHARMACY AVE ",35295,1401,"Thursday"
" ST CLAIR AVE E ",34514,1963,"Wednesday"
" ANNETTE ST ",31860,4456,"Thursday"
" BROADVIEW AVE ",32855,3268,"Thursday"
" KING ST E ",27571,8516,"Tuesday"
" BRIMLEY RD ",34689,1356,"Wednesday"
" PROGRESS AVE ",34347,1122,"Tuesday"
" SHEPPARD AVE W ",33379,1782,"Monday"
" BROWNS LINE ",33999,1080,"Monday"
" SPADINA RD ",27733,7216,"Thursday"
" QUEEN ST E ",28259,6644,"Wednesday"
" EVANS AVE ",34466,342,"Tuesday"
" UNIVERSITY AVE ",21879,12603,"Saturday"
" SHEPPARD AVE W ",32211,2222,"Saturday"
" REXDALE BLVD ",32041,1658,"Friday"
" ST CLAIR AVE E ",31457,1793,"Tuesday"
" KING ST W ",24999,7937,"Wednesday"
" DORIS AVE ",26491,6382,"Thursday"
" HARBORD ST ",27013,5843,"Wednesday"
" ROYAL YORK RD ",30757,1422,"Tuesday"
" ST GEORGE ST ",10431,21163,"Wednesday"
" ST CLAIR AVE W ",27844,3202,"Tuesday"
" FRONT ST W ",15796,15202,"Monday"
" ST CLAIR AVE W ",22508,7838,"Saturday"
" SPADINA RD ",28317,2001,"Tuesday"
" KING ST E ",17954,12105,"Thursday"
" ELLESMERE RD ",28168,1674,"Wednesday"
" BROADVIEW AVE ",22404,7312,"Monday"
" ALNESS ST ",29444,205,"Tuesday"
" WYNFORD DR ",28209,1319,"Tuesday"
" HARBORD ST ",25375,4088,"Thursday"
" DANFORTH AVE ",27890,1314,"Wednesday"
" LAIRD DR ",28322,794,"Thursday"
" ADELAIDE ST E ",17875,11115,"Tuesday"
" RICHMOND ST W ",15628,13312,"Tuesday"
" MIDDLEFIELD RD ",28624,297,"Wednesday"
" DONLANDS AVE ",28393,504,"Tuesday"
" FAIRVIEW MALL DR ",26855,1986,"Wednesday"
" OSSINGTON AVE ",24926,3863,"Thursday"
" LAWRENCE AVE W ",27792,979,"Friday"
" MARTIN GROVE RD ",27887,711,"Thursday"
" BRIMLEY RD ",26105,2450,"Saturday"
" PARLIAMENT ST ",23152,5338,"Tuesday"
" COLLEGE ST ",22918,5545,"Monday"
" BLACK CREEK DR ",28035,113,"Monday"
" MORNINGSIDE AVE ",26218,1889,"Saturday"
" EASTERN AVE ",25665,1920,"Saturday"
" FINCH AVE W ",22468,5000,"Friday"
" DAVENPORT RD ",26340,1025,"Wednesday"
" WILLOWDALE AVE ",26114,941,"Monday"
" GERRARD ST E ",22687,4364,"Monday"
" MARLEE AVE ",23772,3174,"Tuesday"
" CARLINGVIEW DR ",26721,120,"Thursday"
" BAYVIEW AVE ",26296,482,"Saturday"
" OVERLEA BLVD ",25011,1735,"Thursday"
" YORK ST ",17067,9528,"Thursday"
" CALEDONIA RD ",25679,899,"Monday"
" BEECROFT RD ",24126,1934,"Thursday"
" PROGRESS AVE ",24878,1165,"Thursday"
" WOODBINE AVE ",24169,1576,"Thursday"
" JARVIS ST ",18207,7458,"Monday"
" RICHMOND ST E ",22235,3310,"Tuesday"
" KING ST W ",10235,15252,"Tuesday"
" BLOOR ST E ",24892,527,"Monday"
" WILSON HEIGHTS BLVD ",24571,603,"Thursday"
" FRONT ST W ",14832,10118,"Wednesday"
" KING ST E ",12670,12001,"Monday"
" OAKWOOD AVE ",22694,1874,"Wednesday"
" BROADVIEW AVE ",23731,770,"Wednesday"
" CUMMER AVE ",23971,442,"Thursday"
" JANE ST ",23158,1243,"Saturday"
" HIGHWAY 27 ",23934,216,"Saturday"
" DUPONT ST ",22398,1678,"Wednesday"
" PARK HOME AVE ",21975,2087,"Monday"
" RENFORTH DR ",24049,0,"Monday"
" QUEENS PARK CRES E ",20424,3562,"Wednesday"
" SCARLETT RD ",23247,728,"Thursday"
" SCARLETT RD ",22972,831,"Tuesday"
" WELLINGTON ST W ",10712,12944,"Thursday"
" ADELAIDE ST W ",16847,6408,"Wednesday"
" PARKWOODS VILLAGE DR ",21918,1297,"Tuesday"
" ELLESMERE RD ",22109,1075,"Thursday"
" THE WEST MALL ",22255,858,"Tuesday"
" MARTIN GROVE RD ",22102,999,"Saturday"
" WYNFORD DR ",22190,893,"Monday"
" MAIN ST ",15646,7102,"Saturday"
" HARBORD ST ",15983,6751,"Tuesday"
" YONGE ST ",16322,6264,"Friday"
" MOUNT PLEASANT RD ",22337,200,"Friday"
" THE QUEENSWAY ",22123,231,"Saturday"
" MCNICOLL AVE ",22141,197,"Monday"
" RICHMOND ST W ",15838,6465,"Monday"
" ADELAIDE ST E ",18022,4138,"Thursday"
" VICTORIA PARK AVE ",21525,449,"Saturday"
" CALEDONIA RD ",21400,549,"Tuesday"
" REXDALE BLVD ",21340,486,"Saturday"
" OVERLEA BLVD ",19167,2051,"Friday"
" QUEEN ST W ",14622,6472,"Saturday"
" LANSDOWNE AVE ",18677,2331,"Saturday"
" QUEENS PARK CRES E ",17081,3817,"Thursday"
" BLACK CREEK DR ",20502,288,"Thursday"
" THE POND RD ",11330,9454,"Wednesday"
" QUEENS QUAY W ",15604,4991,"Thursday"
" KIPLING AVE ",20299,172,"Saturday"
" CASTLEFIELD AVE ",20075,239,"Monday"
" STEELES AVE W ",19967,331,"Thursday"
" REXDALE BLVD ",20171,91,"Wednesday"
