"stop_id","name_stop","lat","log"
"6100","barrington St [southbound] in front of Mulgrave Pk",44.6695,-63.6014
"6101","barrington St [northbound] before Artz St",44.6576,-63.5862
"6102","barrington St [southbound] before Blowers St",44.6455,-63.5734
"6103","barrington St [southbound] before civic address 1656",44.6467,-63.574
"6104","barrington St [southbound] before Cornwallis St",44.6541,-63.5819
"6105","barrington St [southbound] before Duke St",44.6498,-63.5755
"6106","barrington St [northbound] in front of George St",44.6481,-63.5745
"6107","barrington St [southbound] before Fleetclub",44.6601,-63.5896
"6108","barrington St [southbound] before George St",44.6483,-63.5748
"6109","barrington St [southbound] before Hanover St",44.6667,-63.5971
"6110","barrington St [northbound] opposite Hanover St",44.6667,-63.5969
"6111","barrington St [southbound] before Inglis St",44.6364,-63.5696
"6112","barrington St [southbound] before Kent St",44.6387,-63.57
"6113","barrington St [northbound] before Morris St",44.6416,-63.5712
"6114","barrington St [southbound] in front of Morris St",44.6419,-63.5715
"6115","barrington St [southbound] before North St",44.6594,-63.5889
"6116","barrington St [northbound] before North St",44.659,-63.5882
"6119","barrington St [northbound] opposite Richmond St",44.6678,-63.5983
"6120","barrington St [southbound] before Richmond St",44.6679,-63.5987
"6121","barrington St [northbound] before Sackville St",44.6461,-63.5735
"6122","barrington St [southbound] before Spring Garden Rd",44.6444,-63.5728
"6123","barrington St [northbound] before Spring Garden Rd",44.644,-63.5725
"6124","barrington St [southbound] after Spring Garden Rd",44.644,-63.5725
"6125","barrington St [southbound] in front of civic address 2170",44.6535,-63.5812
"6127","barrington St [northbound] opposite Devonshire St",44.664,-63.5935
"6128","barrington St [northbound] opposite Mulgrave Pk",44.6696,-63.6012
"6129","basinview Dr after Atlee Ct",44.7234,-63.6813
"6130","basinview Dr after Glen Moir Terr",44.7184,-63.6813
"6131","basinview Dr after Hammonds Plains Rd",44.7173,-63.6826
"6132","basinview Dr after and opposite civic address 284",44.7234,-63.6793
"6133","basinview Dr in front of civic address 548",44.728,-63.6807
"6134","basinview Dr before Carriageway Ct",44.7236,-63.6815
"6135","basinview Dr before civic address 138",44.72,-63.6797
"6136","basinview Dr before civic address 284",44.7233,-63.6792
"6137","basinview Dr before Granville Rd",44.7249,-63.6829
"6138","basinview Dr before Roy Cr",44.7218,-63.6786
"6139","basinview Dr in front of civic address 147",44.7202,-63.6794
"6140","basinview Dr opposite civic address 64",44.7183,-63.6812
"6141","basinview Dr opposite Granville Rd",44.7248,-63.6827
"6142","basinview Dr opposite Roy Cr",44.7216,-63.6785
"6143","st Margarets Bay Rd opposite civic address 1996",44.6491,-63.719
"6144","st Margarets Bay Rd in front of civic address 1140",44.6364,-63.6806
"6145","st Margarets Bay Rd in front of civic address 1813",44.6456,-63.7124
"6146","st Margarets Bay Rd after civic address 1025",44.6349,-63.6751
"6147","st Margarets Bay Rd after civic address 1505",44.6372,-63.7003
"6148","st Margarets Bay Rd after civic address 1737",44.6438,-63.7079
"6149","st Margarets Bay Rd after civic address 1939",44.6482,-63.7175
"6150","st Margarets Bay Rd after civic address 2172",44.6534,-63.7281
"6151","st Margarets Bay Rd after civic address 2395",44.6586,-63.738
"6152","st Margarets Bay Rd after civic address 2404",44.6586,-63.7383
"6153","st Margarets Bay Rd after County Ind. Park Entr.",44.638,-63.6895
"6154","st Margarets Bay Rd opposite Beech Tree Run",44.6363,-63.6817
"6156","st Margarets Bay Rd after Greenhead Rd",44.6371,-63.7002
"6157","st Margarets Bay Rd in front of civic address 1075",44.6358,-63.6772
"6158","st Margarets Bay Rd after Keating Rd",44.6409,-63.6241
"6159","st Margarets Bay Rd in front of Fairmount Rd",44.6402,-63.6246
"6160","st Margarets Bay Rd after Lakelands Blvd",44.635,-63.6698
"6161","st Margarets Bay Rd in front of civic address 1630",44.6457,-63.7127
"6162","st Margarets Bay Rd [inbound] in front of civic address 1210",44.6365,-63.6843
"6163","st Margarets Bay Rd in front of Post Office",44.6378,-63.6972
"6164","st Margarets Bay Rd in front of civic address 1370",44.638,-63.6931
"6165","st Margarets Bay Rd in front of civic address 1569",44.6378,-63.7036
"6166","st Margarets Bay Rd in front of civic address 1578",44.6382,-63.7042
"6167","st Margarets Bay Rd in front of civic address 1618",44.6395,-63.7055
"6168","bluewater Rd opposite civic address 223",44.7169,-63.7158
"6169","st Margarets Bay Rd in front of civic address 46",44.6395,-63.6269
"6170","st Margarets Bay Rd in front of Timberlea Village Pkwy",44.6474,-63.7159
"6171","st Margarets Bay Rd before Alderwood Dr",44.639,-63.6285
"6172","st Margarets Bay Rd before civic address 1966",44.6487,-63.7186
"6173","st Margarets Bay Rd before civic address 2177",44.6536,-63.7283
"6174","st Margarets Bay Rd before civic address 2357",44.6572,-63.7362
"6175","st Margarets Bay Rd before Clearwater Dr",44.6509,-63.7228
"6176","st Margarets Bay Rd before Devonshire Dr",44.6512,-63.7235
"6177","st Margarets Bay Rd before Donovon Dr",44.6397,-63.7055
"6178","st Margarets Bay Rd before Governor's Lake Rd",44.6425,-63.7073
"6179","st Margarets Bay Rd opposite Sheppards Run",44.6358,-63.6771
"6180","st Margarets Bay Rd before Raines Mills Rd",44.638,-63.6938
"6181","st Margarets Bay Rd in front of civic address 1440",44.6378,-63.6943
"6182","st Margarets Bay Rd before Timberlea Manor Entr.",44.6443,-63.7089
"6183","st Margarets Bay Rd opposite Bakers Dr",44.6388,-63.6291
"6184","st Margarets Bay Rd opposite civic address 1254",44.6372,-63.6855
"6185","st Margarets Bay Rd opposite civic address 1264",44.6375,-63.6868
"6186","st Margarets Bay Rd opposite civic address 1697",44.6425,-63.7074
"6187","st Margarets Bay Rd opposite civic address 46",44.6396,-63.6269
"6188","st Margarets Bay Rd opposite Lakeside Ind Park Entr.",44.6378,-63.6885
"6189","st Margarets Bay Rd opposite and before civic address 1025",44.6347,-63.6749
"6190","st Margarets Bay Rd after James St",44.6594,-63.7399
"6191","bayers Rd [eastbound] before Windsor St",44.6565,-63.608
"6192","bayers Rd [westbound] after Windsor St",44.6565,-63.6082
"6193","bayers Rd [eastbound] before Coleman Ct",44.6515,-63.6177
"6194","bayers Rd [westbound] in front of Bayers Rd Centre",44.6536,-63.6276
"6195","bayers Rd [eastbound] after Oxford St",44.6551,-63.61
"6196","bayers Rd [westbound] before Oxford St",44.6552,-63.61
"6197","bayers Rd [eastbound] in front of Romans Ave",44.6526,-63.6219
"6198","bayers Rd [westbound] after Romans Ave",44.6528,-63.6217
"6199","bayers Rd [westbound] in front of civic address 6779",44.6519,-63.6182
"6200","bayers Rd [westbound] before Connaught Ave",44.6523,-63.6149
"6201","bayers Rd [westbound] in front of Connolly St",44.6536,-63.6127
"6202","robie St before and opposite Oakland",44.6347,-63.584
"6203","bayers Rd [eastbound] in front of Connolly St",44.6532,-63.6128
"6204","beacon St after civic address 3",44.6791,-63.5424
"6205","beacon St before Harris Rd",44.6792,-63.5422
"6206","beaufort Ave [southbound] after South St",44.6338,-63.5951
"6207","beaufort Ave [northbound] in front of civic address 1021",44.6315,-63.59
"6208","beaufort Ave [southbound] before Inglis St",44.6309,-63.5891
"6209","beaufort Ave [southbound] before Oakland Rd",44.6328,-63.5934
"6210","beaufort Ave [northbound] before Oakland Rd",44.6325,-63.5923
"6211","beaufort Ave [northbound] before South St",44.634,-63.5951
"6212","beaver Bank Rd after Judy Ave",44.7773,-63.6955
"6213","beaver Bank Rd after Gloria Ave",44.7805,-63.6931
"6214","beaver Bank Rd before Gloria Ave",44.7805,-63.6929
"6215","beaver Bank Rd in front of civic address 5",44.7773,-63.6952
"6216","bedford Hwy in front of Melody [msvu]",44.6727,-63.6443
"6217","bedford Hwy before Sherbrooke Dr",44.6699,-63.641
"6218","bluewater Rd opposite Command Ct",44.721,-63.7134
"6219","bedford Hwy [outbound] opposite Msvu",44.6729,-63.6444
"6220","bedford Hwy opposite Larry Uteck Blvd",44.7023,-63.6614
"6221","bedford Hwy opposite Fern Ave",44.7048,-63.6631
"6222","bedford Hwy opposite Kent Ave",44.6907,-63.6599
"6223","bedford Hwy opposite Lodge Dr",44.6924,-63.6603
"6224","bedford Hwy in front of civic address 748",44.7068,-63.6647
"6225","macdonald Ave in front of Nscsa",44.6991,-63.5953
"6226","bedford Hwy opposite Rocky Lake Dr",44.7341,-63.6557
"6227","bedford Hwy opposite Spring Ave",44.7266,-63.6662
"6228","bedford Hwy in front of Bedford Tower",44.7314,-63.6595
"6229","bedford Hwy in front of civic address 1157",44.7202,-63.6721
"6230","bedford Hwy in front of civic address 836",44.7109,-63.6714
"6231","bluewater Rd in front of civic address 112",44.7227,-63.7099
"6232","bedford Hwy in front of Esquire Motel",44.7081,-63.6663
"6233","bedford Hwy in front of Lodge Dr",44.6925,-63.6606
"6234","bedford Hwy in front of Shaunslieve Dr",44.6959,-63.6609
"6235","bedford Hwy in front of Convoy Run",44.7183,-63.6747
"6236","bedford Hwy [inbound] in front of Dartmouth Rd",44.7325,-63.6566
"6237","bedford Hwy in front of Sunnyside Esso",44.7314,-63.6587
"6238","bedford Hwy [outbound] after Dartmouth Rd",44.7327,-63.6562
"6239","bedford Hwy before Larry Uteck Blvd",44.6988,-63.661
"6240","bedford Hwy in front of Holland Ave",44.7184,-63.6746
"6241","bedford Hwy in front of Nelsons Landing Blvd",44.7127,-63.6751
"6242","bedford Hwy in front of Tall Trees Lane",44.6884,-63.6593
"6243","bedford Hwy in front of civic address 1749",44.7412,-63.6551
"6244","bedford Hwy in front of civic address 1189",44.7226,-63.6706
"6245","bedford Hwy in front of Bedford Place Mall",44.7353,-63.6552
"6246","bedford Hwy in front of civic address 364",44.6814,-63.6591
"6247","bedford Hwy after Cresthaven Estates",44.6869,-63.6591
